game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
824695 PIT@CHC,2026-04-10T18:19:51.018Z,1,top,OUT,Groundout,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.6,0.6155,0.0258,0.0155,833,500.0,0.01,False,8.33
824695 PIT@CHC,2026-04-10T18:20:44.637Z,1,top,OUT,Groundout,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.61,0.6206,0.0177,0.0106,819,500.0,0.0106,True,8.68
824695 PIT@CHC,2026-04-10T18:25:38.081Z,1,bot,1B,Single,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.64,0.6641,0.0402,0.0241,781,500.0,0.0241,True,18.82
824695 PIT@CHC,2026-04-10T18:27:02.791Z,1,bot,K,Strikeout,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.65,0.634,-0.0267,0.016,769,500.0,-0.01,False,-7.69
824695 PIT@CHC,2026-04-10T18:29:26.449Z,1,bot,DP,Grounded Into DP,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.66,0.6208,-0.0654,0.0392,757,500.0,0.0392,True,29.67
824695 PIT@CHC,2026-04-10T18:32:25.279Z,2,top,OUT,Flyout,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.6,0.6139,0.0232,0.0139,833,500.0,0.0139,True,11.58
824695 PIT@CHC,2026-04-10T18:34:14.465Z,2,top,K,Strikeout,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.61,0.6209,0.0182,0.0109,819,500.0,0.0109,True,8.93
824695 PIT@CHC,2026-04-10T18:35:43.149Z,2,top,BB,Walk,moneyline,ML CHC,KXMLBGAME-26APR101420PITCHC-CHC,0.65,0.6378,-0.0204,0.0122,769,500.0,0.0122,True,9.38
824695 PIT@CHC,2026-04-10T18:43:55.996Z,2,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR101420PITCHC-CHC2,0.41,0.4347,0.0411,0.0247,1219,500.0,0.0246,True,29.99
824695 PIT@CHC,2026-04-10T18:45:26.514Z,2,bot,OUT,Forceout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR101420PITCHC-CHC2,0.45,0.4384,-0.0193,0.0116,1111,500.0,0.0116,True,12.89
